ID;Nome do Requisito;Tipo de Requisito;Descrição;Origem do requisito;Fit Criterion;Prioridade
RNF01;Segurança;Não Funcional;O sistema deve garantir a segurança dos dados dos utilizadores, incluindo autenticação segura, autorização adequada e proteção contra ataques informáticos;Equipa de Desenvolvimento;O sistema passa em testes de segurança;Must
RNF02;Desempenho;Não Funcional;O sistema deve ser capaz de lidar com um grande volume de utilizadores e transações simultâneas sem degradação significativa do desempenho;Equipa de Desenvolvimento;O sistema mantém um tempo de resposta aceitável mesmo sob carga máxima;Must
RNF03;Disponibilidade;Não Funcional;O sistema deve estar disponível para uso dos utilizadores durante a maior parte do tempo, com um tempo de inatividade mínimo para manutenção planeada ou não planeada;Equipa de Desenvolvimento;O sistema alcança uma disponibilidade de pelo menos 99.9% ao longo do tempo;Must
RNF04;Usabilidade;Não Funcional;O sistema deve ser intuitivo e fácil de usar, com uma interface amigável que permita aos utilizadores realizar tarefas com eficiência e eficácia;Equipa de Desenvolvimento;Os utilizadores conseguem completar as  tarefas com sucesso após um curto período de aprendizagem;Must
RNF05;Portabilidade;Não Funcional;O sistema deve ser capaz de ser implementado e executado em diferentes ambientes de hardware e software, incluindo servidores locais, nuvem e dispositivos móveis;Equipa de Desenvolvimento;O sistema é testado e funciona corretamente em diferentes plataformas e ambientes;Should
RNF06;Manutenção;Não Funcional;O sistema deve ser fácil de manter e atualizar, com código bem documentado, modularidade e práticas de desenvolvimento sustentáveis;Equipa de Desenvolvimento;Novos recursos e correções podem ser implementados sem causar impacto negativo noutras partes do sistema;Must
RNF07;Escalabilidade;Não Funcional;O sistema deve ser capaz de escalar para lidar com um aumento repentino no número de utilizadores, transações ou carga de trabalho;Equipa de Desenvolvimento;O sistema pode ser dimensionado para aumentar a capacidade de processamento e armazenamento conforme necessário sem tempo significativo de inatividade;Should
RNF08;Interoperabilidade;Não Funcional;O sistema deve ser capaz de interagir e trocar dados com outros sistemas e serviços externos usando padrões e protocolos abertos;Equipa de Desenvolvimento;O sistema pode integrar-se facilmente a sistemas externos por meio de APIs e serviços web;Should
RNF09;Confiabilidade;Não Funcional;O sistema deve ser confiável, com poucos erros ou falhas e capacidade de recuperar de falhas sem perda de dados;Equipa de Desenvolvimento;O sistema demonstra uma taxa baixa de falhas e é capaz de se recuperar automaticamente de falhas sem intervenção manual;Must
RNF10;Localização;Não Funcional;O sistema deve suportar múltiplos idiomas e localizações para abranger uma base de utilizadores global;Equipa de Desenvolvimento;Os utilizadores podem selecionar o seu idioma e todas as informações são exibidas corretamente de acordo com a localização selecionada;Should
